jugador_id,nombre,posicion,pais,fecha_nacimiento,edad_al_inicio_2026,elegible_mejor_joven,partidos_clasificatoria,minutos_clasificatoria,goles_clasificatoria,asistencias_clasificatoria,tarjetas_amarillas,tarjetas_rojas,partidos_invicto,goles_recibidos_portero,paradas_portero,porcentaje_paradas,penales_atajados,club_actual,valor_mercado_millon_eur,puntuacion_golden_ball_aprox
1,Kylian Mbappé,Delantero,Francia,20/12/1998,27,No,4,353,5,3,1,0,0,0,0,0,0,Real Madrid,250,92
2,Antoine Griezmann,Delantero,Francia,21/03/1991,34,No,4,360,2,4,0,0,0,0,0,0,0,Atlético de Madrid,25,78
3,Aurélien Tchouaméni,Mediocampista,Francia,27/01/2000,26,No,4,320,1,1,1,0,0,0,0,0,0,Real Madrid,90,75
4,Mike Maignan,Portero,Francia,03/07/1995,30,No,4,360,0,0,0,0,4,3,18,85.7,0,AC Milan,45,82
5,Lamina Yamal,Extremo,España,13/07/2007,18,Sí,5,435,3,6,0,0,0,0,0,0,0,Barcelona,180,90
6,Pedri,Mediocampista,España,25/11/2002,23,Sí,5,450,2,5,1,0,0,0,0,0,0,Barcelona,120,83
7,Álvaro Morata,Delantero,España,23/10/1992,33,No,5,420,4,2,1,0,0,0,0,0,0,AC Milan,20,70
8,Unai Simón,Portero,España,11/06/1997,28,No,5,450,0,0,0,0,5,2,14,87.5,1,Athletic Bilbao,30,74
9,Lionel Messi,Delantero,Argentina,24/06/1987,38,No,14,1150,5,7,2,0,0,0,0,0,0,Inter Miami,30,88
10,Julián Álvarez,Delantero,Argentina,31/01/2000,26,No,14,1050,7,4,1,0,0,0,0,0,0,Atlético de Madrid,130,85
11,Enzo Fernández,Mediocampista,Argentina,17/01/2001,25,No,14,1120,3,5,3,0,0,0,0,0,0,Chelsea,80,80
12,Emiliano Martínez,Portero,Argentina,02/09/1992,33,No,14,1260,0,0,0,0,9,10,42,80.8,1,Aston Villa,50,83
13,Harry Kane,Delantero,Inglaterra,28/07/1993,32,No,6,540,8,3,0,0,0,0,0,0,0,Bayern Múnich,100,86
14,Jude Bellingham,Mediocampista,Inglaterra,29/06/2003,22,Sí,5,450,4,6,1,0,0,0,0,0,0,Real Madrid,200,89
15,Phil Foden,Mediocampista,Inglaterra,28/05/2000,25,No,5,400,3,5,0,0,0,0,0,0,0,Manchester City,150,83
16,Jordan Pickford,Portero,Inglaterra,07/03/1994,31,No,5,450,0,0,0,0,4,6,22,78.6,0,Everton,20,72
17,Cristiano Ronaldo,Delantero,Portugal,05/02/1985,41,No,6,540,8,2,1,0,0,0,0,0,0,Al-Nassr,10,75
18,Bruno Fernandes,Mediocampista,Portugal,08/09/1994,31,No,6,540,5,7,2,0,0,0,0,0,0,Manchester United,80,83
19,Rafael Leão,Extremo,Portugal,10/06/1999,26,No,6,460,3,5,1,0,0,0,0,0,0,AC Milan,90,80
20,Diogo Costa,Portero,Portugal,19/09/2000,25,No,6,540,0,0,0,0,5,5,20,80.0,1,Oporto,40,77
21,Vinicius Jr.,Extremo,Brasil,12/07/2000,25,No,14,1100,5,6,3,0,0,0,0,0,0,Real Madrid,200,88
22,Rodrygo,Extremo,Brasil,09/01/2001,25,No,12,950,4,5,1,0,0,0,0,0,0,Real Madrid,120,78
23,Endrick,Delantero,Brasil,21/07/2006,19,Sí,8,450,3,2,0,0,0,0,0,0,0,Real Madrid,80,72
24,Alisson Becker,Portero,Brasil,02/10/1992,33,No,14,1260,0,0,0,0,7,18,52,74.3,0,Liverpool,45,79
25,Memphis Depay,Delantero,Países Bajos,13/02/1994,32,No,6,520,8,4,1,0,0,0,0,0,0,Corinthians,5,72
26,Cody Gakpo,Extremo,Países Bajos,07/05/1999,26,No,6,510,4,4,1,0,0,0,0,0,0,Liverpool,80,78
27,Xavi Simons,Mediocampista,Países Bajos,21/04/2003,22,Sí,6,480,2,5,0,0,0,0,0,0,0,Leipzig,80,79
28,Bart Verbruggen,Portero,Países Bajos,18/03/2002,23,Sí,6,540,0,0,0,0,5,8,24,75.0,0,Brighton,18,70
29,Erling Haaland,Delantero,Noruega,21/07/2000,25,No,8,706,16,3,1,0,0,0,0,0,0,Manchester City,250,91
30,Martin Ødegaard,Mediocampista,Noruega,17/12/1998,27,No,8,680,3,7,0,0,0,0,0,0,0,Arsenal,150,84
