seleccion_id,pais,confederacion,grupo_mundial,ranking_fifa_abril2026,puntos_fifa,partidos_jugados_clasificatoria,partidos_ganados,partidos_empatados,partidos_perdidos,goles_favor,goles_contra,diferencia_goles,puntos_clasificatoria,mejor_resultado_mundial,participaciones_mundiales,campeonatos_mundiales,clasifico_como,goles_promedio_partido_favor,goles_promedio_partido_contra,porcentaje_victorias
1,Francia,UEFA,I,1,1877.32,6,5,1,0,20,4,+16,16,Campeón (1998 y 2018),16,2,Ganador de grupo,3.33,0.67,83.3
2,España,UEFA,H,2,1876.40,6,5,1,0,17,3,+14,16,Campeón (2010),16,1,Ganador de grupo,2.83,0.50,83.3
3,Argentina,CONMEBOL,J,3,1874.81,18,12,2,4,31,10,+21,38,Campeón (1978 1986 2022),18,3,1° CONMEBOL,1.72,0.56,66.7
4,Inglaterra,UEFA,L,4,1825.97,6,5,0,1,18,5,+13,15,Campeón (1966),16,1,Ganador de grupo,3.00,0.83,83.3
5,Portugal,UEFA,K,5,1763.83,6,5,1,0,19,3,+16,16,Semifinales (1966 y 2006),9,0,Ganador de grupo,3.17,0.50,83.3
6,Brasil,CONMEBOL,C,6,1761.16,18,8,4,6,24,17,+7,28,Campeón (1958 1962 1970 1994 2002),22,5,5° CONMEBOL,1.33,0.94,44.4
7,Países Bajos,UEFA,F,7,1757.87,6,5,1,0,20,5,+15,16,Subcampeón (1974 1978 2010),11,0,Ganador de grupo,3.33,0.83,83.3
8,Marruecos,CAF,C,8,1755.87,10,8,1,1,20,5,+15,25,Semifinales (2022),7,0,Ganador de grupo,2.00,0.50,80.0
9,Bélgica,UEFA,G,9,1734.71,6,5,1,0,16,3,+13,16,Semifinales (2018),14,0,Ganador de grupo,2.67,0.50,83.3
10,Alemania,UEFA,E,10,1730.37,6,5,1,0,22,5,+17,16,Campeón (1954 1974 1990 2014),20,4,Ganador de grupo,3.67,0.83,83.3
11,Croacia,UEFA,L,11,1717.07,6,4,2,0,14,4,+10,14,Subcampeón (2018); Semifinales (2022),7,0,Ganador de grupo,2.33,0.67,66.7
